Date,Job_Retention_Bonus,Kickstart_Job_Scheme_for_young_people,Not_sure_,"Not_using,_or_intending_to_use,_either_of_these_schemes"
19/11/2020,15.1,2.0,9.3,74.6
03/12/2020,25.0,1.0,5.8,69.7
17/12/2020,21.0,1.0,6.1,72.7
07/01/2021,15.0,1.5,4.8,78.7
14/01/2021,20.9,1.0,4.7,73.5
28/01/2021,51.3,0.0,26.3,4.4
11/02/2021,20.7,1.8,4.6,73.8
25/02/2021,18.9,1.8,5.6,76.0
11/03/2021,20.1,1.1,4.6,74.3
25/03/2021,23.2,1.0,4.6,71.3
08/04/2021,19.6,1.0,3.6,76.5
22/04/2021,24.4,2.5,4.6,64.9
06/05/2021,17.5,1.7,3.5,75.3
20/05/2021,23.3,1.7,2.9,69.5
03/06/2021,21.0,1.0,4.4,70.9
17/06/2021,26.3,1.6,9.8,59.8
01/07/2021,19.0,1.6,4.7,72.6
15/07/2021,19.4,1.2,5.5,72.8
29/07/2021,13.3,1.4,7.9,74.4
12/08/2021,16.4,1.5,7.9,65.1
26/08/2021,16.5,1.5,3.6,75.8
09/09/2021,18.6,1.1,7.0,72.4
23/09/2021,22.2,1.1,5.4,70.5
