Date,On_furlough_leave ,Off_sick_or_in_self-isolation_due_to_coronavirus_(COVID-19)_with_statutory_or_company_pay ,Made_permanently_redundant ,Working_at_their_normal_place_of_work ,Working_remotely_instead_of_at_their_normal_place_of_work ,Other 
02/07/2020,28.1,3.0,1.2,44.1,23.7,1.5
16/07/2020,19.3,3.1,1.2,45.6,30.0,1.5
30/07/2020,17.8,1.4,1.2,54.7,23.5,2.2
13/08/2020,15.1,1.3,1.2,58.4,22.4,2.0
27/08/2020,11.9,1.3,1.2,60.2,23.5,2.9
10/09/2020,8.4,1.3,1.2,67.3,21.8,1.2
24/09/2020,8.1,1.0,1.2,66.6,22.0,1.2
08/10/2020,5.9,1.0,1.2,69.9,21.3,1.2
22/10/2020,6.9,1.0,1.2,73.3,17.8,1.2
05/11/2020,5.6,1.5,1.2,73.9,17.3,1.4
19/11/2020,8.4,1.2,1.2,70.7,18.2,1.4
03/12/2020,17.1,1.7,1.2,53.4,26.2,1.2
17/12/2020,17.7,1.6,1.2,54.2,24.9,1.3
07/01/2021,8.5,1.6,1.2,63.3,25.4,1.3
14/01/2021,13.3,1.8,1.2,56.3,27.9,1.3
28/01/2021,19.6,1.8,1.2,48.5,28.3,1.6
11/02/2021,21.9,1.7,1.2,44.6,30.6,1.0
25/02/2021,24.6,1.7,1.2,43.7,29.0,1.0
11/03/2021,22.9,1.6,1.2,46.7,27.3,1.4
25/03/2021,22.3,1.5,1.2,47.0,27.8,1.3
08/04/2021,23.3,1.4,1.2,46.5,27.4,1.3
22/04/2021,20.7,1.2,1.2,50.2,26.6,1.3
06/05/2021,10.8,1.2,1.2,61.1,26.3,1.3
20/05/2021,6.7,1.1,1.2,63.0,28.0,1.1
03/06/2021,5.5,1.2,1.2,65.8,25.9,1.4
17/06/2021,5.5,1.2,1.2,65.8,25.9,1.4
