Date,The_business_has_stopped_exporting_in_the_last_two_weeks ,Exporting_has_not_been_affected ,"The_business_is_exporting,_but_less_than_normal","The_business_is_exporting,_but_more_than_normal",Not_sure 
02/07/2020,0.0,14.3,82.4,2.1,1.2
16/07/2020,0.0,9.6,84.5,3.0,2.9
30/07/2020,0.0,29.3,68.3,1.2,1.2
13/08/2020,0.0,45.5,53.1,1.2,1.2
27/08/2020,0.0,37.5,61.9,1.2,0.0
10/09/2020,69.1,18.7,10.9,1.2,0.0
24/09/2020,1.6,56.0,35.3,4.5,2.7
08/10/2020,0.0,27.5,53.9,4.5,17.7
22/10/2020,3.0,23.4,17.4,53.9,2.3
05/11/2020,2.5,51.3,26.4,0.0,19.8
19/11/2020,0.0,21.8,74.0,2.8,1.3
03/12/2020,0.0,19.7,56.3,2.8,23.5
17/12/2020,19.0,31.4,47.0,2.8,2.2
07/01/2021,0.0,54.0,38.3,3.9,3.8
14/01/2021,2.1,25.7,38.7,5.3,28.2
28/01/2021,0.0,18.1,54.0,2.0,26.0
11/02/2021,0.0,51.3,11.1,32.5,4.8
25/02/2021,0.0,33.5,16.1,2.6,47.3
11/03/2021,1.1,6.0,17.0,2.6,75.2
25/03/2021,1.9,11.3,13.9,31.8,41.1
08/04/2021,1.2,7.0,36.0,23.5,32.2
22/04/2021,1.2,39.2,9.5,0.0,50.7
06/05/2021,1.2,4.9,18.5,0.0,76.1
20/05/2021,1.2,76.8,20.1,0.0,1.9
03/06/2021,1.2,23.9,23.6,17.3,35.0
17/06/2021,0.0,78.4,16.4,17.3,4.6
01/07/2021,0.0,49.4,48.0,17.3,2.3
15/07/2021,0.0,86.1,9.3,17.3,4.1
29/07/2021,0.0,81.8,16.7,0.0,1.5
12/08/2021,0.0,76.3,21.6,0.0,1.4
26/08/2021,0.0,29.4,70.3,0.0,1.4
09/09/2021,1.7,50.6,42.5,0.0,5.0
23/09/2021,0.0,62.5,34.5,0.0,2.7
07/10/2021,1.4,64.5,21.0,3.9,9.2
21/10/2021,1.1,45.3,40.4,1.1,12.1
